title,director,plot,box_office,imdbrating,released
Searching for Bobby Fischer (1993),Steven Zaillian,A prepubescent chess prodigy is encouraged to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,"$7,266,383",7.4,11 Aug 1993
Second Best (1994),Chris Menges,"Graham, a lonely Welsh postal worker, adopts James, a troubled ten-year-old boy. Graham always wanted a son, but James loves his biological father too much to give Graham a chance. Will the two be able to accept each other as family?","$86,115",6.8,30 Sep 1994
"Secret Garden, The (1993)",,,,,
Serial Mom (1994),John Waters,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.","$7,820,688",6.8,13 Apr 1994
"Shadow, The (1994)",,,,,
Shadowlands (1993),Richard Attenborough,"C.S. Lewis, a world-renowned Christian theologian, writer and professor, leads a passionless life until he meets spirited poet Joy Gresham from the U.S.","$25,842,377",7.3,14 Jan 1994
Short Cuts (1993),Robert Altman,The day-to-day lives of several suburban Los Angeles residents.,"$6,110,979",7.6,01 Oct 1993
"Simple Twist of Fate, A (1994)",,,,,
Sirens (1994),John Duigan,"When a painting is termed blasphemous, a young minister and his wife visit the artist... and the three sexually playful models living with him.","$7,770,731",5.9,25 Mar 1994
Six Degrees of Separation (1993),Fred Schepisi,"An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.","$6,405,918",6.8,08 Dec 1993
Sleepless in Seattle (1993),Nora Ephron,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,"$126,808,165",6.8,25 Jun 1993
Sliver (1993),Phillip Noyce,A book editor has an affair with a high-tech voyeur in an exclusive Manhattan apartment building.,"$36,300,000",5.1,21 May 1993
Blade Runner (1982),Ridley Scott,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"$32,914,489",8.1,25 Jun 1982
Son in Law (1993),Steve Rash,"Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town.","$36,448,400",5.9,02 Jul 1993
So I Married an Axe Murderer (1993),Thomas Schlamme,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,"$11,585,483",6.5,30 Jul 1993
Striking Distance (1993),Rowdy Herrington,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.","$24,107,867",5.9,17 Sep 1993
Harlem (1993),Jean Valjean,N/A,N/A,N/A,N/A
Super Mario Bros. (1993),"Annabel Jankel, Rocky Morton","Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.","$20,915,465",4.2,28 May 1993
Surviving the Game (1994),Ernest R. Dickerson,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.","$7,727,256",6.2,15 Apr 1994
Terminal Velocity (1994),Deran Sarafian,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,"$16,487,349",5.5,23 Sep 1994
Thirty-Two Short Films About Glenn Gould (1993),François Girard,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.","$1,319,521",7.3,26 Nov 1993
Threesome (1994),Andrew Fleming,"A girl named Alex is by mistake housed with 2 guys, Stuart and Eddy, in a college dorm suite. After initial problems they become friends. Stuart has the hots for Alex, Alex for Eddy and Eddy for Stuart. Can it work?","$14,815,317",6.3,08 Apr 1994
"Nightmare Before Christmas, The (1993)",,,,,
"Three Musketeers, The (1993)",,,,,
Tombstone (1993),George P. Cosmatos,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.","$56,505,065",7.8,25 Dec 1993
Trial by Jury (1994),Heywood Gould,"Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.","$6,971,777",5.4,09 Sep 1994
True Romance (1993),Tony Scott,"In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.","$12,281,551",7.9,10 Sep 1993
"War Room, The (1993)",,,,,
Mamma Roma (1962),Pier Paolo Pasolini,"An ex-prostitute reunites with her son, but an extortion scheme threatens her aspirations for a decent life.",N/A,7.8,18 Jan 1965
"Pagemaster, The (1994)",,,,,
"Paris, France (1993)",Jerry Ciccoritti,"Lucy, Michael, and William, owners of a publishing company, face emotional turmoil when Sloan, a former boxer, has an affair with Lucy, leading to confusion and confusion.","$44,159",5.1,04 Feb 1994
"Beans of Egypt, Maine, The (1994)",,,,,
Killer (Bulletproof Heart) (1994),,,,,
Welcome to the Dollhouse (1995),Todd Solondz,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.","$4,569,019",7.4,24 May 1996
Germinal (1993),Claude Berri,"In mid-nineteenth-century northern France, a coal mining town's workers are exploited by the mine's owner. One day, they decide to go on strike, and the authorities repress them.",N/A,7.1,31 Mar 1994
Chasers (1994),Dennis Hopper,A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.,"$1,596,687",5.2,22 Apr 1994
Cronos (1992),Guillermo del Toro,"A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.","$621,392",6.7,01 May 1994
Naked in New York (1994),,,,,
Kika (1993),Pedro Almodóvar,"Kika, a cute cosmetologist, prepares Ramon for funeral when he revives. He proposes to the much older Kika who has his dad as lover. Did Ramon's dad murder his mom? What about the escaped rapist and the PSYCHOlogist video reporter?","$2,019,581",6.5,06 May 1994
Bhaji on the Beach (1993),Gurinder Chadha,"A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The events of the day lead them to better mutual understanding and solidarity.","$734,634",6.4,01 May 1994
Little Big League (1994),Andrew Scheinman,A young boy is bequeathed the ownership of a professional baseball team.,"$12,267,790",6.2,29 Jun 1994
"Slingshot, The (Kådisbellan ) (1993)",,,,,
"Wedding Gift, The (1994)",,,,,
Foreign Student (1994),Eva Sereny,A French football playing exchange student falls in love.,"$113,727",5.9,29 Jul 1994
"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",,,,,
Spanking the Monkey (1994),David O. Russell,"A med student is forced by his traveling salesman dad to cancel a top summer internship and look after his hot mom, who's bedridden with a broken leg. Applying lotion to her legs arouses him.","$1,359,736",6.3,15 Jul 1994
"Little Rascals, The (1994)",,,,,
Fausto (1993),N/A,N/A,N/A,N/A,N/A
Andre (1994),George Miller,The true story of how a seal named Andre befriended a little girl named Toni and her family in 1962.,"$16,820,893",5.7,17 Aug 1994
"Hour of the Pig, The (1993)",,,,,
"Scorta, La (1993)",,,,,
Princess Caraboo (1994),Michael Austin,"A mysterious young woman speaking a strange language shows up in an English village, where she is taken in by aristocrats who assume she is a foreign princess","$3,062,530",6.0,16 Sep 1994
"Celluloid Closet, The (1995)",,,,,
Metisse (Café au Lait) (1993),,,,,
Dear Diary (Caro Diario) (1994),,,,,
I Don't Want to Talk About It (De eso no se habla) (1993),,,,,
"Brady Bunch Movie, The (1995)",,,,,
Home Alone (1990),Chris Columbus,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.","$285,761,243",7.7,16 Nov 1990
Ghost (1990),Jerry Zucker,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","$217,631,306",7.1,13 Jul 1990
Aladdin (1992),"Ron Clements, John Musker",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"$217,350,219",8.0,25 Nov 1992
Terminator 2: Judgment Day (1991),James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","$205,881,154",8.6,03 Jul 1991
Dances with Wolves (1990),Kevin Costner,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,"$184,208,848",8.0,21 Nov 1990
Tough and Deadly (1995),Steve Cohen,"Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big ...",N/A,5.8,14 Feb 1995
Batman (1989),Tim Burton,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","$251,409,241",7.5,23 Jun 1989
"Silence of the Lambs, The (1991)",,,,,
Snow White and the Seven Dwarfs (1937),"William Cottrell, David Hand, Wilfred Jackson","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","$184,925,486",7.6,04 Feb 1938
Beauty and the Beast (1991),"Gary Trousdale, Kirk Wise",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"$218,967,620",8.0,22 Nov 1991
Pinocchio (1940),"Norman Ferguson, T. Hee, Wilfred Jackson","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","$84,254,167",7.5,23 Feb 1940
Pretty Woman (1990),Garry Marshall,"A corporate raider hires a hooker to act as a business escort in Beverly Hills, California.","$178,406,268",7.1,23 Mar 1990
Window to Paris (1994),,,,,
"Wild Bunch, The (1969)",,,,,
Love and a .45 (1994),C.M. Talkington,"A small time crook flees to Mexico to evade the authorities, loan sharks, and his murderous ex-partner with only his fiancé and a trusted Colt .45.","$35,200",6.0,23 Nov 1994
"Wooden Man's Bride, The (Wu Kui) (1994)",,,,,
"Great Day in Harlem, A (1994)",,,,,
"Bye Bye, Love (1995)",Sam Weisman,"A story about the family breakup of three divorced men. The film presented their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men.","$12,096,673",6.2,17 Mar 1995
Criminals (1996),Stephen Surjik,"Des is an eleven year old kid who has had a really bad deal in life. Crime and mischief are the main staples of his life and he and his friends cruise around the city and do things like vandalize, steal, light fires, and mug peopl...",N/A,7.8,21 Jan 1996
One Fine Day (1996),Michael Hoffman,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","$46,151,454",6.5,20 Dec 1996
Candyman: Farewell to the Flesh (1995),Bill Condon,The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.,"$13,940,383",5.3,17 Mar 1995
Century (1993),Stephen Poliakoff,"Paul Reisner, a young doctor, becomes a researcher in a prestigious medical institute. He feels he has a chance to be part of a movement of unending progress in science and civilization. Then he begins to discover the dark side of...","$7,271",6.2,31 Dec 1993
